CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Supervisor District,Neighborhood,Point,Source,Media URL
5389138,12/19/2015 03:53:05 PM,12/20/2015 05:31:33 AM,12/20/2015 05:31:33 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,amplified_sound_electronics,Noise Report - amplified_sound_electronics,Not associated with a specific address,0,,,Web Self Service,
5389313,12/19/2015 05:09:47 PM,12/20/2015 05:31:33 AM,12/20/2015 05:31:33 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,amplified_sound_electronics,Noise Report - amplified_sound_electronics,"402 BROADWAY, SAN FRANCISCO, CA, 94133",3,North Beach,"(37.798495900196, -122.404099504216)",Web Self Service,
5389403,12/19/2015 06:00:33 PM,12/20/2015 05:31:33 AM,12/20/2015 05:31:33 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,sirens,Noise Report - sirens,Intersection of CALIFORNIA ST and VAN NESS AVE,3,Polk Gulch,"(37.7903696268019, -122.422329094456)",Voice In,
5389491,12/19/2015 07:22:44 PM,12/21/2015 11:07:37 AM,12/21/2015 11:07:37 AM,Closed,Case Transferred -,MUNI Work Queue,MUNI Feedback,MUNI - Services_Service_Delivery_Facilities,605_Vehicle_Maintenance_Noise,Intersection of MARKET ST and 7TH ST,6,Civic Center,"(37.7804786084846, -122.41251224905)",Voice In,
5389597,12/19/2015 08:58:29 PM,01/04/2016 01:55:36 PM,01/04/2016 01:55:36 PM,Closed,"Case Transferred - DPH Environmental Health
 415-252-3800",DPH - Environmental Health - G,Residential Building Request,Building - Noise_Caused_by_Building_Systems,Noise_Caused_by_Building_Systems,"1550 FILLMORE ST, SAN FRANCISCO, CA, 94115",5,Japantown,"(37.784025373435, -122.432656954115)",Web Self Service,
5389781,12/20/2015 04:21:13 AM,12/29/2015 12:00:00 PM,12/29/2015 12:00:00 PM,Closed,Case Completed - resolved: nothing found -,DPW BSM Queue,Noise Report,construction_public,Noise Report - construction_public,"273 COLERIDGE ST, SAN FRANCISCO, CA, 94110",9,Bernal Heights,"(37.742004055833, -122.420561262834)",Web Self Service,
5389782,12/20/2015 04:29:07 AM,12/29/2015 03:20:00 AM,12/29/2015 03:20:00 AM,Closed,Case Completed - resolved: Generator removed.  - None,DPW BSM Queue,Noise Report,construction_public,Noise Report - construction_public,"273 COLERIDGE ST, SAN FRANCISCO, CA, 94110",9,Bernal Heights,"(37.742004055833, -122.420561262834)",Voice In,
5389998,12/20/2015 08:50:16 AM,12/22/2015 10:02:57 AM,12/22/2015 10:02:57 AM,Closed,"Case Resolved - BID complaint no. 201587521 has been filed with DBI (415) 558-6570.  To view the status, please visit our website at www.sfdbi.org",DBI Inspection Services Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,"2451 SACRAMENTO ST, Apt 906, SAN FRANCISCO, CA, 94115",2,Pacific Heights,"(37.789659279457, -122.433285782317)",Voice In,
5390886,12/20/2015 04:53:57 PM,01/25/2016 11:45:07 AM,01/25/2016 11:45:07 AM,Closed,Scheduled - DPH Env. Health  informed the SF open air tour bus operators of the complaint and is currently making appointments with various operators to have their amplified sound systems tested and registered for 2016.,DPH - Environmental Health - G,Noise Report,tour_bus,Noise Report - tour_bus,"830 BUSH ST, SAN FRANCISCO, CA, 94108",3,Lower Nob Hill,"(37.789994029102, -122.410953777395)",Web Self Service,
5391368,12/20/2015 11:05:17 PM,,12/20/2015 11:05:17 PM,Open,Open,Planning - G,Noise Report,delivery_service_business,Noise Report - delivery_service_business,"38 DOLORES ST, SAN FRANCISCO, CA, 94103",8,Dolores Heights,"(37.755280963758, -122.425709820262)",Web Self Service,
5391413,12/21/2015 01:50:27 AM,01/07/2016 03:24:17 PM,01/07/2016 03:24:17 PM,Closed,"Case Resolved - BID complaint no. 201566852 has been filed with DBI (415) 558-6570 on 8/26/2015.  To view the status, please visit our website at www.sfdbi.org",DBI Inspection Services Queue,Noise Report,mechanical_equipment,Noise Report - mechanical_equipment,"555 FULTON ST, SAN FRANCISCO, CA, 94102",5,Hayes Valley,"(37.778309324624, -122.42580182562)",Web Self Service,
5391448,12/21/2015 05:39:21 AM,01/04/2016 04:24:06 PM,01/04/2016 04:24:06 PM,Closed,"Case Transferred - DPH Environmental Health
 415-252-3800",DPH - Environmental Health - G,Noise Report,garbage_recycling_collection,Noise Report - garbage_recycling_collection,Not associated with a specific address,0,,,Web Self Service,
5391567,12/21/2015 07:34:15 AM,12/22/2015 12:14:04 PM,12/22/2015 12:14:04 PM,Closed,Case Transferred -,SSP - MTA Feedback Queue,MUNI Feedback,MUNI  - Services_Service_Delivery_Facilities,605_Vehicle_Maintenance_Noise,Not associated with a specific address,0,,,Web Self Service,
5392400,12/21/2015 10:22:09 AM,12/22/2015 09:16:55 AM,12/22/2015 09:16:55 AM,Closed,"Case Resolved - BID complaint no. 201587461 has been filed with DBI (415) 558-6570.  To view the status, please visit our website at www.sfdbi.org",DBI Inspection Services Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,Not associated with a specific address,0,,,Voice In,
5394851,12/22/2015 02:21:42 AM,12/23/2015 05:13:35 AM,12/23/2015 05:13:35 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"307 LANGTON ST, SAN FRANCISCO, CA, 94103",6,Showplace Square,"(37.773833519971, -122.405184604089)",Voice In,
5394856,12/22/2015 02:56:35 AM,01/04/2016 04:32:18 PM,01/04/2016 04:32:18 PM,Closed,"Case Transferred - DPH Environmental Health
 415-252-3800",DPH - Environmental Health - G,Noise Report,garbage_recycling_collection,Noise Report - garbage_recycling_collection,"307 LANGTON ST, SAN FRANCISCO, CA, 94103",6,Showplace Square,"(37.773833519971, -122.405184604089)",Web Self Service,
5395107,12/22/2015 08:01:23 AM,01/04/2016 04:33:19 PM,01/04/2016 04:33:19 PM,Closed,"Case Transferred - DPH Environmental Health
 415-252-3800",DPH - Environmental Health - G,Noise Report,garbage_recycling_collection,Noise Report - garbage_recycling_collection,"2471 33RD AVE, SAN FRANCISCO, CA, 94116",4,Parkside,"(37.741078769301, -122.490739253766)",Web Self Service,
5395601,12/22/2015 09:57:35 AM,12/29/2015 12:00:00 PM,12/29/2015 12:00:00 PM,Closed,Case Completed - resolved: condition not found - photo,DPW BSM Queue,Noise Report,construction_public,Noise Report - construction_public,"551 DUBOCE AVE, SAN FRANCISCO, CA, 94117",8,Duboce Triangle,"(37.7691055921, -122.432585797149)",Voice In,
5395817,12/22/2015 10:41:06 AM,12/23/2015 11:59:33 AM,12/23/2015 11:59:33 AM,Closed,Case Transferred -,MUNI Work Queue,MUNI Feedback,MUNI - Services_Service_Delivery_Facilities,605_Vehicle_Maintenance_Noise,Not associated with a specific address,0,,,Voice In,
5397273,12/22/2015 03:49:16 PM,01/25/2016 11:36:49 AM,01/25/2016 11:36:49 AM,Closed,Scheduled - DPH Env. Health informed the SF open air tour bus operators of the complaint and is currently making appointments with the various operators to have their amplified sound systems tested and registered for 2016.,DPH - Environmental Health - G,Noise Report,tour_bus,Noise Report - tour_bus,Intersection of BATTERY ST and WASHINGTON ST,3,Financial District,"(37.7958749746779, -122.400485673484)",Voice In,
5397576,12/22/2015 05:22:53 PM,01/04/2016 12:00:00 PM,01/04/2016 12:00:00 PM,Closed,Case Completed - resolved: work being done on Stockton St is part the Central Subway project - None,DPW BSM Queue,Noise Report,construction_public,Noise Report - construction_public,Intersection of CLAY ST and STOCKTON ST,3,Chinatown,"(37.7940603549851, -122.407903381766)",Voice In,
5398072,12/23/2015 02:48:18 AM,01/11/2016 02:56:57 PM,01/11/2016 02:56:57 PM,Closed,"Case is a Duplicate - BID complaint no. 201690951 has been filed with DBI (415) 558-6570 on 1/11/2016.  To view the status, please visit our website at www.sfdbi.org",DBI Inspection Services Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,"1010 16TH ST, SAN FRANCISCO, CA, 94107",8,Mission Dolores,"(37.765013227583, -122.423918243854)",Voice In,
5398651,12/23/2015 09:52:32 AM,01/07/2016 03:15:21 PM,01/07/2016 03:15:21 PM,Closed,"Case Resolved - BID complaint no. 201690281 has been filed with DBI (415) 558-6570.  To view the status, please visit our website at www.sfdbi.org",DBI Inspection Services Queue,Residential Building Request,Building - Noise_Caused_by_Building_Systems,Noise_Caused_by_Building_Systems,"917 FLORIDA ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.756787682282, -122.410311288645)",Web Self Service,
5398668,12/23/2015 09:55:17 AM,12/24/2015 05:14:12 AM,12/24/2015 05:14:12 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,hospital,Noise Report - hospital,"2425 GEARY BLVD, SAN FRANCISCO, CA, 94115",2,Anza Vista,"(37.782569331275, -122.443688609889)",Voice In,
5399165,12/23/2015 11:43:05 AM,12/24/2015 05:14:11 AM,12/24/2015 05:14:11 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"2238 KIRKHAM ST, SAN FRANCISCO, CA, 94122",4,Outer Sunset,"(37.759595431755, -122.485081522926)",Voice In,
5400556,12/23/2015 05:12:27 PM,12/24/2015 12:00:35 PM,12/24/2015 12:00:35 PM,Closed,Case Transferred -,MUNI Work Queue,MUNI Feedback,MUNI - Services_Service_Delivery_Facilities,605_Vehicle_Maintenance_Noise,Intersection of CALIFORNIA ST and PRESIDIO AVE,2,Laurel Heights / Jordan Park,"(37.7872617024695, -122.446792795684)",Voice In,
5400835,12/23/2015 07:33:07 PM,12/24/2015 01:19:15 PM,12/24/2015 01:19:15 PM,Closed,Case Transferred -,MUNI Work Queue,MUNI Feedback,MUNI - Services_Service_Delivery_Facilities,605_Vehicle_Maintenance_Noise,Intersection of PRESIDIO AVE and SUTTER ST,5,Laurel Heights / Jordan Park,"(37.7844383507606, -122.446247374676)",Voice In,
5401238,12/24/2015 01:37:36 AM,12/25/2015 05:44:42 AM,12/25/2015 05:44:42 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"2455 LAKE ST, SAN FRANCISCO, CA, 94121",1,Lake Street,"(37.785568299529, -122.48597123863)",Web Self Service,
5401266,12/24/2015 03:48:29 AM,12/25/2015 05:44:42 AM,12/25/2015 05:44:42 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,amplified_sound_electronics,Noise Report - amplified_sound_electronics,"2455 LAKE ST, SAN FRANCISCO, CA, 94121",1,Lake Street,"(37.785568299529, -122.48597123863)",Web Self Service,
5403292,12/24/2015 07:37:29 PM,12/25/2015 05:44:42 AM,12/25/2015 05:44:42 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"3133 IRVING ST, SAN FRANCISCO, CA, 94122",4,Outer Sunset,"(37.7627806493, -122.49166638164)",Web Self Service,
5404577,12/25/2015 10:17:25 PM,01/14/2016 04:57:51 PM,01/14/2016 04:57:51 PM,Closed,Scheduled -,Entertainment Commission - G,Noise Report,entertainment,Noise Report - entertainment,"4234 MISSION ST, SAN FRANCISCO, CA, 94112",11,Mission Terrace,"(37.729567971235, -122.430722318864)",Voice In,
5405172,12/26/2015 11:02:39 AM,01/05/2016 04:05:20 PM,01/05/2016 04:05:20 PM,Closed,"Case Transferred - Environmental Health- DPH
 
 (415)-252-3800",DPH - Environmental Health - G,Noise Report,garbage_recycling_collection,Noise Report - garbage_recycling_collection,Not associated with a specific address,0,,,Web Self Service,
5405654,12/26/2015 02:12:06 PM,12/27/2015 05:15:43 AM,12/27/2015 05:15:43 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"44 CASA WAY, SAN FRANCISCO, CA, 94123",2,Marina,"(37.80558425421, -122.438834730431)",Web Self Service,
5405659,12/26/2015 02:14:09 PM,12/27/2015 05:15:43 AM,12/27/2015 05:15:43 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"42 CASA WAY, SAN FRANCISCO, CA, 94123",2,Marina,"(37.805703543921, -122.438740753054)",Web Self Service,
5406614,12/27/2015 02:13:40 AM,12/28/2015 05:16:20 AM,12/28/2015 05:16:20 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,amplified_sound_electronics,Noise Report - amplified_sound_electronics,"219 LEXINGTON ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.759801318623, -122.42048147918)",Web Self Service,
5406626,12/27/2015 03:16:51 AM,12/28/2015 05:16:21 AM,12/28/2015 05:16:21 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"322 6TH ST, SAN FRANCISCO, CA, 94107",6,South of Market,"(37.778705781671, -122.40612082233)",Web Self Service,
5407874,12/27/2015 05:42:15 PM,01/05/2016 04:06:03 PM,01/05/2016 04:06:03 PM,Closed,"Case Transferred - Environmental Health- DPH
 
 (415)-252-3800",DPH - Environmental Health - G,Residential Building Request,Building - Noise_Caused_by_Building_Systems,Noise_Caused_by_Building_Systems,"550 GEARY ST, SAN FRANCISCO, CA, 94102",3,Lower Nob Hill,"(37.786927651761, -122.412488758131)",Web Self Service,
5408547,12/28/2015 06:41:19 AM,12/29/2015 05:16:52 AM,12/29/2015 05:16:52 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,vehicle_car_alarm,Noise Report - vehicle_car_alarm,Not associated with a specific address,0,,,Web Self Service,
5410388,12/28/2015 01:52:46 PM,12/29/2015 03:22:25 PM,12/29/2015 03:22:25 PM,Closed,Case Transferred -,MUNI Work Queue,MUNI Feedback,MUNI - Services_Service_Delivery_Facilities,605_Vehicle_Maintenance_Noise,Not associated with a specific address,0,,,Voice In,
5411402,12/28/2015 06:00:28 PM,12/29/2015 05:05:10 PM,12/29/2015 05:05:10 PM,Closed,Case Transferred -,MUNI Work Queue,MUNI Feedback,MUNI - Services_Service_Delivery_Facilities,605_Vehicle_Maintenance_Noise,Intersection of MISSION ST and LOWELL ST,11,Outer Mission,"(37.7114360454511, -122.446383384101)",Voice In,
5411903,12/29/2015 03:17:37 AM,12/30/2015 09:02:37 AM,12/30/2015 09:02:37 AM,Closed,Case Transferred -,SSP - MTA Feedback Queue,MUNI Feedback,MUNI  - Services_Service_Delivery_Facilities,605_Vehicle_Maintenance_Noise,Not associated with a specific address,0,,,Web Self Service,
5413433,12/29/2015 01:07:19 PM,12/30/2015 05:17:27 AM,12/30/2015 05:17:27 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"44 CASA WAY, SAN FRANCISCO, CA, 94123",2,Marina,"(37.80558425421, -122.438834730431)",Web Self Service,
5413438,12/29/2015 01:10:23 PM,12/30/2015 05:17:28 AM,12/30/2015 05:17:28 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"42 CASA WAY, SAN FRANCISCO, CA, 94123",2,Marina,"(37.805703543921, -122.438740753054)",Web Self Service,
5415481,12/29/2015 11:22:48 PM,01/05/2016 12:00:00 PM,01/05/2016 12:00:00 PM,Closed,Case Completed - resolved: no condition found. MP -,DPW BSM Queue,Noise Report,construction_public,Noise Report - construction_public,Intersection of STEVENSON ST and 2ND ST,6,Financial District,"(37.7888154041166, -122.400812427962)",Voice In,
5415654,12/30/2015 07:26:14 AM,12/30/2015 10:23:39 AM,12/30/2015 10:23:39 AM,Closed,"Case is a Duplicate - BID complaint no. 201579441 has been filed with DBI (415) 558-6570 on 11/17/2015.  To view the status, please visit our website at www.sfdbi.org",DBI Inspection Services Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,"155 HAYES ST, SAN FRANCISCO, CA, 94102",6,Civic Center,"(37.777281289001, -122.418870912931)",Voice In,
5415809,12/30/2015 08:23:20 AM,01/05/2016 04:08:59 PM,01/05/2016 04:08:59 PM,Closed,"Case Transferred - Environmental Health- DPH
 
 (415)-252-3800",DPH - Environmental Health - G,Residential Building Request,Building - Noise_Caused_by_Building_Systems,Noise_Caused_by_Building_Systems,"1550 FILLMORE ST, SAN FRANCISCO, CA, 94115",5,Japantown,"(37.784025373435, -122.432656954115)",Web Self Service,
5416351,12/30/2015 10:37:09 AM,,12/30/2015 10:37:09 AM,Open,Open,DBI Inspection Services Queue,Noise Report,delivery_service_construction,Noise Report - delivery_service_construction,Not associated with a specific address,0,,,Web Self Service,
5416820,12/30/2015 12:13:29 PM,01/05/2016 08:52:26 AM,01/05/2016 08:52:26 AM,Closed,Case Transferred -,MUNI Work Queue,MUNI Feedback,MUNI - Services_Service_Delivery_Facilities,605_Vehicle_Maintenance_Noise,Not associated with a specific address,0,,,Voice In,
5417206,12/30/2015 01:36:27 PM,12/31/2015 11:20:46 AM,12/31/2015 11:20:46 AM,Closed,Case Transferred -,MUNI Work Queue,MUNI Feedback,MUNI - Services_Service_Delivery_Facilities,605_Vehicle_Maintenance_Noise,"500 PARNASSUS AVE, SAN FRANCISCO, CA, 94122",5,Inner Sunset,"(37.762529314438, -122.461678840946)",Voice In,
5418374,12/30/2015 06:23:55 PM,12/31/2015 12:15:34 PM,12/31/2015 12:15:34 PM,Closed,Case Transferred -,MUNI Work Queue,MUNI Feedback,MUNI - Services_Service_Delivery_Facilities,605_Vehicle_Maintenance_Noise,Not associated with a specific address,0,,,Voice In,
5418541,12/30/2015 08:27:00 PM,12/31/2015 12:54:06 PM,12/31/2015 12:54:06 PM,Closed,Case Transferred -,MUNI Work Queue,MUNI Feedback,MUNI - Services_Service_Delivery_Facilities,605_Vehicle_Maintenance_Noise,Not associated with a specific address,0,,,Voice In,
5418741,12/31/2015 12:19:15 AM,01/01/2016 05:18:57 AM,01/01/2016 05:18:57 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,amplified_sound_electronics,Noise Report - amplified_sound_electronics,"3336 24TH ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.752312022088, -122.419254588042)",Web Self Service,
5418747,12/31/2015 12:34:37 AM,01/01/2016 05:18:55 AM,01/01/2016 05:18:55 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,amplified_sound_electronics,Noise Report - amplified_sound_electronics,"120 CHESTER AVE, SAN FRANCISCO, CA, 94132",11,Merced Heights,"(37.71388404984, -122.470556597723)",Web Self Service,
5419247,12/31/2015 09:14:57 AM,01/07/2016 03:08:21 PM,01/07/2016 03:08:21 PM,Closed,"Case is a Duplicate - BID complaint no. 201580424 has been filed with DBI (415) 558-6570 on 11/23/2015.  To view the status, please visit our webiste at www.sfdbi.org",DBI Inspection Services Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,"1 POLK ST, SAN FRANCISCO, CA, 94102",6,Civic Center,"(37.778534105939, -122.418299172628)",Voice In,
5420257,12/31/2015 01:25:05 PM,01/07/2016 02:52:16 PM,01/07/2016 02:52:16 PM,Closed,"Case Resolved - BID complaint no 201690261 has been filed with DBI (415) 558-6570.  To view the status, please visit our website at www.sfdbi.org",DBI Inspection Services Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,"2578 29TH AVE, SAN FRANCISCO, CA, 94116",4,Parkside,"(37.739280104359, -122.486011282924)",Voice In,
5420811,12/31/2015 03:57:10 PM,01/01/2016 05:18:55 AM,01/01/2016 05:18:55 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,Intersection of PACHECO ST and 28TH AVE,4,Outer Sunset,"(37.7500844410823, -122.48585711193)",Voice In,
5420997,12/31/2015 04:52:08 PM,01/04/2016 02:13:19 PM,01/04/2016 02:13:19 PM,Closed,Case Transferred -,MUNI Work Queue,MUNI Feedback,MUNI - Services_Service_Delivery_Facilities,605_Vehicle_Maintenance_Noise,Not associated with a specific address,0,,,Voice In,
5421259,12/31/2015 06:41:41 PM,01/01/2016 05:18:57 AM,01/01/2016 05:18:57 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"2455 LAKE ST, SAN FRANCISCO, CA, 94121",1,Lake Street,"(37.785568299529, -122.48597123863)",Web Self Service,
5421852,01/01/2016 02:57:44 AM,01/02/2016 05:19:21 AM,01/02/2016 05:19:21 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"1709 WALLER ST, SAN FRANCISCO, CA, 94117",5,Cole Valley,"(37.768286367945, -122.451934152976)",Web Self Service,
5422070,01/01/2016 08:47:00 AM,01/05/2016 04:11:59 PM,01/05/2016 04:11:59 PM,Closed,"Case Transferred - Environmental Health- DPH
 
 (415)-252-3800",DPH - Environmental Health - G,Noise Report,mechanical_equipment,Noise Report - mechanical_equipment,Not associated with a specific address,0,,,Web Self Service,
5423479,01/01/2016 07:28:04 PM,01/04/2016 04:07:12 PM,01/04/2016 04:07:12 PM,Closed,Case Transferred -,MUNI Work Queue,MUNI Feedback,MUNI - Services_Service_Delivery_Facilities,605_Vehicle_Maintenance_Noise,Not associated with a specific address,0,,,Twitter,
5423689,01/01/2016 11:31:33 PM,01/02/2016 05:19:23 AM,01/02/2016 05:19:23 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,amplified_sound_electronics,Noise Report - amplified_sound_electronics,"987 JACKSON ST, SAN FRANCISCO, CA, 94133",3,Nob Hill,"(37.795325105602, -122.411198829421)",Web Self Service,
5423756,01/02/2016 01:06:37 AM,01/03/2016 05:19:43 AM,01/03/2016 05:19:43 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,amplified_sound_electronics,Noise Report - amplified_sound_electronics,"801 MINNESOTA ST, SAN FRANCISCO, CA, 94107",10,Dogpatch,"(37.760186180096, -122.39025463546)",Web Self Service,
5425913,01/02/2016 09:28:50 PM,01/03/2016 05:19:42 AM,01/03/2016 05:19:42 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"1559 43RD AVE, SAN FRANCISCO, CA, 94122",4,Outer Sunset,"(37.757600337476, -122.502642993712)",Web Self Service,
5426040,01/02/2016 11:48:36 PM,01/03/2016 05:19:44 AM,01/03/2016 05:19:44 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"2050 24TH AVE, SAN FRANCISCO, CA, 94116",4,Outer Sunset,"(37.749319028892, -122.481344292855)",Web Self Service,
5426107,01/03/2016 02:34:16 AM,01/04/2016 05:20:02 AM,01/04/2016 05:20:02 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,amplified_sound_electronics,Noise Report - amplified_sound_electronics,"1868 MCALLISTER ST, SAN FRANCISCO, CA, 94115",5,Western Addition,"(37.777445734496, -122.442950564371)",Web Self Service,
5426113,01/03/2016 03:13:40 AM,01/14/2016 04:58:58 PM,01/14/2016 04:58:58 PM,Closed,Scheduled -,Entertainment Commission - G,Noise Report,entertainment,Noise Report - entertainment,"322 6TH ST, SAN FRANCISCO, CA, 94107",6,South of Market,"(37.778705781671, -122.40612082233)",Web Self Service,
5426285,01/03/2016 08:36:10 AM,01/04/2016 05:20:01 AM,01/04/2016 05:20:01 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,amplified_sound_electronics,Noise Report - amplified_sound_electronics,"4314 17TH ST, SAN FRANCISCO, CA, 94114",8,Corona Heights,"(37.762243334812, -122.440874502064)",Web Self Service,
5427300,01/03/2016 02:42:08 PM,01/04/2016 05:20:01 AM,01/04/2016 05:20:01 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"400 DOUGLASS ST, SAN FRANCISCO, CA, 94114",8,Eureka Valley,"(37.756972989423, -122.439145071052)",Web Self Service,
5427744,01/03/2016 05:39:10 PM,01/04/2016 05:20:02 AM,01/04/2016 05:20:02 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,amplified_sound_electronics,Noise Report - amplified_sound_electronics,Not associated with a specific address,0,,,Web Self Service,
5427781,01/03/2016 06:03:24 PM,01/04/2016 05:21:43 PM,01/04/2016 05:21:43 PM,Closed,Cancelled -,311 Supervisor Queue,Noise Report,entertainment,Noise Report - entertainment,"2016 FILLMORE ST, SAN FRANCISCO, CA, 94115",2,Pacific Heights,"(37.788194570366, -122.433434308795)",Voice In,
5428113,01/03/2016 10:38:48 PM,01/06/2016 04:11:25 PM,01/06/2016 04:11:25 PM,Closed,Case Transferred -,SSP - MTA Feedback Queue,MUNI Feedback,MUNI  - Services_Service_Delivery_Facilities,605_Vehicle_Maintenance_Noise,Not associated with a specific address,0,,,Web Self Service,
5428356,01/04/2016 07:39:39 AM,01/05/2016 05:20:44 AM,01/05/2016 05:20:44 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"1335 WASHINGTON ST, SAN FRANCISCO, CA, 94109",3,Nob Hill,"(37.79389957796, -122.415454012693)",Web Self Service,
5428679,01/04/2016 08:48:06 AM,01/07/2016 08:58:17 AM,01/07/2016 08:58:17 AM,Closed,"Case Resolved - BID complaint no. 201690091 has been filed with DBI (415) 558-6570.  To view the status, please visit our website at www.sfdbi.org",DBI Inspection Services Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,"250 4TH ST, SAN FRANCISCO, CA, 94103",6,South of Market,"(37.782464263151, -122.401967181971)",Web Self Service,
5428752,01/04/2016 08:58:55 AM,01/05/2016 04:16:01 PM,01/05/2016 04:16:01 PM,Closed,"Case Transferred - Environmental Health- DPH
 
 (415)-252-3800",DPH - Environmental Health - G,Noise Report,garbage_recycling_collection,Noise Report - garbage_recycling_collection,"353 KING ST, SAN FRANCISCO, CA, 94158",6,South Beach,"(37.77909446738, -122.39019575003)",Web Self Service,
5430698,01/04/2016 01:51:46 PM,01/05/2016 05:20:45 AM,01/05/2016 05:20:45 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,sirens,Noise Report - sirens,Intersection of EVANS AVE and RANKIN ST,10,Produce Market,"(37.7451010017108, -122.392182327522)",Voice In,
5431667,01/04/2016 04:40:26 PM,01/14/2016 05:21:32 PM,01/14/2016 05:21:32 PM,Closed,Case Resolved - Refer to SFPD.,311 Supervisor Queue,Noise Report,entertainment,Noise Report - entertainment,"737 FOLSOM ST, SAN FRANCISCO, CA, 94107",6,South of Market,"(37.782812309947, -122.399904323009)",Voice In,
5432428,01/05/2016 12:46:54 AM,01/08/2016 12:00:00 PM,01/08/2016 12:00:00 PM,Closed,"Case Completed - resolved: one time event, city vacuum truck cleaning out catch basins - no action taken",DPW BSM Queue,Noise Report,construction_public,Noise Report - construction_public,Intersection of 15TH ST and NOE ST,8,Duboce Triangle,"(37.7658614882697, -122.433255578825)",Voice In,
